intensity_ratio_q,distance_increase_pct,total_impact_pct_of_old_baseline,engineering_savings_taken_back_pct
0.25,0,25.0,0.0
0.25,25.0,31.25,8.333333333
0.25,50.0,37.5,16.666666667
0.25,100,50.0,33.333333333
0.25,200,75.0,66.666666667
0.25,300,100.0,100.0
0.5,0,50.0,0.0
0.5,25.0,62.5,25.0
0.5,50.0,75.0,50.0
0.5,100,100.0,100.0
0.5,200,150.0,200.0
0.5,300,200.0,300.0
0.75,0,75.0,0.0
0.75,25.0,93.75,75.0
0.75,50.0,112.5,150.0
0.75,100,150.0,300.0
0.75,200,225.0,600.0
0.75,300,300.0,900.0
